name,link,code,animal_proportion,animal_decile
"Paahtoleipä, 100 % täysjyväpaahto, vaasan","Paahtoleipä, 100 % täysjyväpaahto, vaasan",32730,0.00,0.0
"Nuudeli, täysjyvävehnä","Nuudeli, täysjyvävehnä",32731,0.00,0.0
Kinder yllätysmuna,Kinder yllätysmuna,32733,0.25,0.3
"Soijajuoma, soijamaito, alpro kalsiumsoijajuoma, kalsiumia ja vitamiineja","Soijajuoma, soijamaito, alpro kalsiumsoijajuoma, kalsiumia ja vitamiineja",32734,0.00,0.0
"Kaurajuoma, rainbow, lisätty kalsiumia ja vitamiineja","Kaurajuoma, rainbow, lisätty kalsiumia ja vitamiineja",32783,0.00,0.0
"Vohveli, vesi","Vohveli, vesi",32838,0.00,0.0
"Juusto, vuohenjuusto, chčvre, rasvaa 30%, vuohenmaito","Juusto, vuohenjuusto, chčvre, rasvaa 30%, vuohenmaito",32925,1.00,1.0
"Näkkileipä, täysjyväruis, pieni pyöreä/maukas, vaasan, keskiarvo, kuitua 18%","Näkkileipä, täysjyväruis, pieni pyöreä/maukas, vaasan, keskiarvo, kuitua 18%",32947,0.00,0.0
"Ruisleipä, ruispalat, leipäaitta, lidl, täysjyväruis-vehnäjauho","Ruisleipä, ruispalat, leipäaitta, lidl, täysjyväruis-vehnäjauho",32962,0.00,0.0
"Vaalea leipä, hot dog sämpylä, kohberg, lidl","Vaalea leipä, hot dog sämpylä, kohberg, lidl",32980,0.00,0.0
"Näkkileipä, kauranäkkileipä, wasa, kaura- vehnäjauho, kaurahiutale","Näkkileipä, kauranäkkileipä, wasa, kaura- vehnäjauho, kaurahiutale",32984,0.00,0.0
"Keksi, täytekeksi, suklainen, catago chocobit, lidl","Keksi, täytekeksi, suklainen, catago chocobit, lidl",32999,0.10,0.1
"Maustekastike, sweet chili sauce, makea chilikastike","Maustekastike, sweet chili sauce, makea chilikastike",33020,0.00,0.0
"Maustetahna, currytahna, mieto / tikka","Maustetahna, currytahna, mieto / tikka",33021,0.00,0.0
"Maustetahna, inkivääritahna","Maustetahna, inkivääritahna",33022,0.00,0.0
"Inkivääri, juurakko, raaka","Inkivääri, juurakko, raaka",33023,0.00,0.0
"Erikoishedelmä, eksoottinen, keskiarvo, mango/papaija, kuivattu","Erikoishedelmä, eksoottinen, keskiarvo, mango/papaija, kuivattu",33067,0.00,0.0
"Ananas, kuivattu","Ananas, kuivattu",33077,0.00,0.0
"Pähkinä, pekaanipähkinä","Pähkinä, pekaanipähkinä",33095,0.00,0.0
"Mehu, mehujuoma, mehukatti pillijuoma, täydennetty","Mehu, mehujuoma, mehukatti pillijuoma, täydennetty",33113,0.00,0.0
Suolatikku,Suolatikku,33114,0.00,0.0
"Hampunsiemen, kokonainen","Hampunsiemen, kokonainen",33121,0.00,0.0
